rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,area (km²),density (km²),growth rate,world percentage
61,LKA,Sri Lanka,Asia,21893579,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,65610,354,0.28%,0.27%
62,MWI,Malawi,Africa,20931751,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,222,2.58%,0.26%
63,ZMB,Zambia,Africa,20569737,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,752612,28,2.76%,0.26%
64,ROU,Romania,Europe,19892812,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,238391,86,1.19%,0.25%
65,CHL,Chile,South America,19629590,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,756102,26,0.13%,0.25%
66,KAZ,Kazakhstan,Asia,19606633,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7,1.08%,0.24%
67,TCD,Chad,Africa,18278568,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1284000,15,3.13%,0.23%
68,ECU,Ecuador,South America,18190484,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,73,1.05%,0.23%
69,SOM,Somalia,Africa,18143378,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,637657,29,3.10%,0.23%
70,GTM,Guatemala,North America,18092026,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,169,1.39%,0.23%
71,SEN,Senegal,Africa,17763163,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,196722,92,2.58%,0.22%
72,NLD,Netherlands,Europe,17618299,17564014,17434557,17041107,16617117,15899135,14944548,14130387,13037686,41850,523,0.31%,0.22%
73,KHM,Cambodia,Asia,16944826,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,181035,96,1.06%,0.21%
74,ZWE,Zimbabwe,Africa,16665409,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,390757,43,2.11%,0.21%
75,GIN,Guinea,Africa,14190612,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,58,2.39%,0.18%
76,RWA,Rwanda,Africa,14094683,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,26338,571,2.31%,0.18%
77,BEN,Benin,Africa,13712828,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,112622,122,2.70%,0.17%
78,BDI,Burundi,Africa,13238559,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,27834,516,2.71%,0.17%
79,TUN,Tunisia,Africa,12458223,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,80,0.83%,0.16%
80,BOL,Bolivia,South America,12388571,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,1098581,11,1.35%,0.15%
81,HTI,Haiti,North America,11724763,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750,425,1.21%,0.15%
82,BEL,Belgium,Europe,11686140,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,30528,386,0.26%,0.15%
83,JOR,Jordan,Asia,11337052,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,128,0.45%,0.14%
84,DOM,Dominican Republic,North America,11332972,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671,235,0.93%,0.14%
85,CUB,Cuba,North America,11194449,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,108,-0.16%,0.14%
86,SSD,South Sudan,Africa,11088796,10913164,10606227,11194299,9714419,6114440,4750817,4192012,3342410,619745,18,1.61%,0.14%
87,SWE,Sweden,Europe,10612086,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,450295,26,0.59%,0.13%
88,HND,Honduras,North America,10593798,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,95,1.54%,0.13%
89,CZE,Czech Republic,Europe,10495295,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,136,0.01%,0.13%
90,AZE,Azerbaijan,Asia,10412651,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,126,0.53%,0.13%
91,GRC,Greece,Europe,10341277,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,80,-0.42%,0.13%
92,PNG,Papua New Guinea,Oceania,10329931,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,23,1.85%,0.13%
93,PRT,Portugal,Europe,10247605,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,112,-0.23%,0.13%
94,HUN,Hungary,Europe,10156239,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,111,1.90%,0.13%
95,TJK,Tajikistan,Asia,10143543,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,143100,73,1.92%,0.13%
96,ARE,United Arab Emirates,Asia,9516871,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,134,0.80%,0.12%
97,BLR,Belarus,Europe,9498238,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600,47,-0.39%,0.12%
98,ISR,Israel,Asia,9174520,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,424,1.51%,0.11%
99,TGO,Togo,Africa,9053799,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,56785,166,2.32%,0.11%
100,AUT,Austria,Europe,8958960,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,109,0.22%,0.11%
101,CHE,Switzerland,Europe,8796669,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,223,0.64%,0.11%
102,SLE,Sierra Leone,Africa,8791092,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,71740,122,2.15%,0.11%
103,LAO,Laos,Asia,7633779,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,33,1.39%,0.10%
104,HKG,Hong Kong,Asia,7491609,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,7135,0.04%,0.09%
105,SRB,Serbia,Europe,7149077,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,88361,82,-1.00%,0.09%
106,NIC,Nicaragua,North America,7046310,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,130373,59,1.41%,0.09%
107,LBY,Libya,Africa,6888388,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,4,1.12%,0.09%
108,PRY,Paraguay,South America,6861524,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,406752,17,1.19%,0.09%
109,KGZ,Kyrgyzstan,Asia,6735347,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,35,1.58%,0.08%
110,BGR,Bulgaria,Europe,6687717,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,110879,62,-1.39%,0.08%
111,TKM,Turkmenistan,Asia,6516100,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,488100,14,1.33%,0.08%
112,SLV,El Salvador,North America,6364943,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,21041,307,0.45%,0.08%
113,COG,Republic of the Congo,Africa,6106869,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,342000,18,2.29%,0.08%
114,SGP,Singapore,Asia,6014723,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,710,8377,0.65%,0.08%
115,DNK,Denmark,Europe,5910913,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,148,0.49%,0.07%
116,SVK,Slovakia,Europe,5795199,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,49037,118,2.69%,0.07%
117,CAF,Central African Republic,Africa,5742315,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,622984,9,2.92%,0.07%
118,FIN,Finland,Europe,5545475,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,18,0.09%,0.07%
119,NOR,Norway,Europe,5474360,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,323802,15,0.74%,0.07%
120,LBR,Liberia,Africa,5418377,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369,56,2.18%,0.07%
121,PSE,Palestine,Asia,5371230,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,6220,892,2.31%,0.07%
122,LBN,Lebanon,Asia,5353930,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,523,-2.47%,0.07%
123,NZL,New Zealand,Oceania,5228100,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467,20,0.83%,0.07%
124,CRI,Costa Rica,North America,5212173,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,102,0.60%,0.07%
125,IRL,Ireland,Europe,5056935,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,73,0.67%,0.06%
126,MRT,Mauritania,Africa,4862989,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,5,2.68%,0.06%
127,OMN,Oman,Asia,4644384,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,309500,15,1.49%,0.06%
128,PAN,Panama,North America,4468087,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,75417,60,1.35%,0.06%
129,KWT,Kuwait,Asia,4310108,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,242,0.97%,0.05%
130,HRV,Croatia,Europe,4008617,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,72,-0.54%,0.05%
131,ERI,Eritrea,Africa,3748901,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,117600,31,1.76%,0.05%
132,GEO,Georgia,Asia,3728282,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,54,-0.43%,0.05%
133,MNG,Mongolia,Asia,3447157,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110,2,1.44%,0.04%
134,MDA,Moldova,Europe,3435931,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,104,4.98%,0.04%
135,URY,Uruguay,South America,3423108,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,181034,20,0.01%,0.04%
136,PRI,Puerto Rico,North America,3260314,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,8870,368,0.24%,0.04%
137,BIH,Bosnia and Herzegovina,Europe,3210847,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,51209,63,-0.70%,0.04%
138,ALB,Albania,Europe,2832439,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,28748,103,-0.35%,0.04%
139,JAM,Jamaica,North America,2825544,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991,261,-0.06%,0.04%
140,ARM,Armenia,Asia,2777970,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,98,-0.09%,0.03%
141,GMB,Gambia,Africa,2773168,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,10689,274,2.48%,0.03%
142,LTU,Lithuania,Europe,2718352,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300,43,-1.15%,0.03%
143,QAT,Qatar,Asia,2716391,2695122,2760385,2414573,1713504,645937,441675,277450,118007,11586,236,0.79%,0.03%
144,BWA,Botswana,Africa,2675352,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,582000,5,1.71%,0.03%
145,NAM,Namibia,Africa,2604172,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3,1.45%,0.03%
146,GAB,Gabon,Africa,2436566,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,9,1.99%,0.03%
147,LSO,Lesotho,Africa,2330318,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,77,1.06%,0.03%
148,GNB,Guinea-Bissau,Africa,2150842,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,76,2.15%,0.03%
149,SVN,Slovenia,Europe,2119675,2119844,2117641,2080862,2057287,1984339,1986024,1901570,1741286,20273,105,-0.01%,0.03%
150,MKD,North Macedonia,Europe,2085679,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,25713,83,-0.38%,0.03%
151,LVA,Latvia,Europe,1830211,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,29,-1.10%,0.02%
152,GNQ,Equatorial Guinea,Africa,1714671,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,61,2.37%,0.02%
153,TTO,Trinidad and Tobago,North America,1534937,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,5130,299,0.25%,0.02%
154,BHR,Bahrain,Asia,1485509,1472233,1477469,1362142,1213645,711442,517418,362595,222555,765,1892,0.90%,0.02%
155,TLS,Timor-Leste,Asia,1360596,1341296,1299995,1205813,1088486,878360,758106,642224,554021,14874,91,1.44%,0.02%
156,EST,Estonia,Europe,1322765,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,45227,31,-0.25%,0.02%
157,MUS,Mauritius,Africa,1300557,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,641,0.08%,0.02%
158,CYP,Cyprus,Europe,1260138,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251,136,0.69%,0.02%
159,SWZ,Eswatini,Africa,1210822,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,17364,70,0.76%,0.02%
160,DJI,Djibouti,Africa,1136455,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200,49,1.39%,0.01%
161,REU,Reunion,Africa,981796,974052,957822,922495,890130,785424,658992,551674,473925,2511,391,0.80%,0.01%
162,FJI,Fiji,Oceania,936375,929766,920422,917200,905169,832509,780430,644582,527634,18272,51,0.71%,0.01%
163,COM,Comoros,Africa,852075,836774,806166,730216,656024,536758,431119,328328,242351,1862,458,1.83%,0.01%
164,GUY,Guyana,South America,813834,808726,797202,755031,747932,759051,747116,778176,705261,214969,4,0.63%,0.01%
165,BTN,Bhutan,Asia,787424,782455,772506,743274,705516,587207,558442,415257,298894,38394,21,0.64%,0.01%
166,SLB,Solomon Islands,Oceania,740424,724273,691191,612660,540394,429978,324171,233668,172833,28896,26,2.23%,0.01%
167,MAC,Macau,Asia,704149,695168,676283,615239,557297,431896,350227,245332,247284,32.9,21403,1.29%,0.01%
168,LUX,Luxembourg,Europe,654768,647599,630399,569408,507070,435628,381267,363741,339342,2586,254,1.11%,0.01%
169,MNE,Montenegro,Europe,626485,627082,629048,633966,631044,633324,621442,589324,530268,13812,47,-0.10%,0.01%
170,SUR,Suriname,South America,623236,618040,607065,575475,546080,478998,412756,375112,379918,163820,4,0.84%,0.01%
171,CPV,Cape Verde,Africa,598682,593149,582640,552166,521212,458251,364563,317234,287262,4033,148,0.93%,0.01%
172,ESH,Western Sahara,Africa,587259,575986,556048,491824,413296,270375,178529,116775,76371,266000,2,1.96%,0.01%
173,MLT,Malta,Europe,535064,533286,515357,456579,418755,399212,365392,333587,315414,316,1672,0.33%,0.01%
174,MDV,Maldives,Asia,521021,523787,514438,435582,361575,282507,224957,164887,123243,300,1737,-0.53%,0.01%
175,BRN,Brunei,Asia,452524,449002,441725,421437,396053,333926,261928,187921,133343,5765,86,0.78%,0.01%
176,BHS,Bahamas,North America,412623,409984,406471,392697,373272,325014,270679,223752,179129,13943,41,0.64%,0.01%
177,BLZ,Belize,North America,410825,405272,394921,359871,322106,240406,182589,145133,120905,22966,18,1.37%,0.01%
178,GLP,Guadeloupe,North America,395839,395752,395642,399089,403072,424067,391951,334234,318310,1628,243,0.02%,0.00%
179,ISL,Iceland,Europe,375318,372899,366669,331060,318333,281462,255019,228263,204468,103000,4,0.65%,0.00%
180,MTQ,Martinique,North America,366981,367507,370391,383515,392181,432543,374271,333786,326428,1128,325,-0.14%,0.00%
181,MYT,Mayotte,Africa,335995,326101,305587,249545,211786,159215,92659,52233,35383,374,898,3.03%,0.00%
182,VUT,Vanuatu,Oceania,334506,326740,311685,276438,245453,192074,150882,118156,87019,12189,27,2.38%,0.00%
183,GUF,French Guiana,South America,312155,304557,290969,257026,228453,164351,113931,66825,46484,83534,4,2.49%,0.00%
184,PYF,French Polynesia,Oceania,308872,306279,301920,291787,283788,250927,211089,163591,117891,4167,89,0.85%,0.00%
185,NCL,New Caledonia,Oceania,292991,289950,286403,283032,261426,221537,177264,148599,110982,18575,16,1.05%,0.00%
186,BRB,Barbados,North America,281995,281635,280693,278083,274711,264657,258868,253575,241397,430,656,0.13%,0.00%
187,STP,Sao Tome and Principe,Africa,231856,227380,218641,201124,182138,143714,120343,97210,77583,964,242,1.97%,0.00%
188,WSM,Samoa,Oceania,225681,222382,214929,203571,194672,184008,168186,164905,142771,2842,81,1.48%,0.00%
189,CUW,Curacao,North America,192077,191163,189288,169572,159380,141424,155446,156851,150385,444,433,0.48%,0.00%
190,LCA,Saint Lucia,North America,180251,179857,179237,175623,170935,159500,142301,121633,103090,616,295,0.22%,0.00%
191,GUM,Guam,Oceania,172952,171774,169231,167978,164905,160188,138263,110286,88300,549,320,0.69%,0.00%
192,KIR,Kiribati,Oceania,133515,131232,126463,116707,107995,88826,75124,60813,57437,811,165,1.74%,0.00%
193,GRD,Grenada,North America,126183,125438,123663,118980,114039,107432,99047,94838,98794,344,371,0.59%,0.00%
194,FSM,Micronesia,Oceania,115224,114164,112106,109462,107588,111709,98603,76299,58989,702,165,0.93%,0.00%
195,JEY,Jersey,Europe,111802,110778,108319,100561,96151,86192,82874,75124,68347,116,932,0.92%,0.00%
196,TON,Tonga,Oceania,107773,106858,105254,106122,107383,102603,98727,96708,86484,747,150,0.86%,0.00%
197,SYC,Seychelles,Africa,107660,107118,105530,99240,92409,80060,71057,65290,54379,452,234,0.51%,0.00%
198,ABW,Aruba,North America,106277,106445,106585,104257,100341,89101,65712,62267,59106,180,590,-0.16%,0.00%
199,VCT,Saint Vincent and the Grenadines,North America,103698,103948,104632,106482,109308,113813,112487,107480,98459,389,266,-0.24%,0.00%
200,VIR,United States Virgin Islands,North America,98750,99465,100442,102803,106142,108185,100685,96640,63446,347,285,-0.72%,0.00%
201,ATG,Antigua and Barbuda,North America,94298,93763,92664,89941,85695,75055,63328,64889,64516,442,214,0.57%,0.00%
202,IMN,Isle of Man,Europe,84710,84519,84046,83593,83828,75562,68865,64022,55298,572,149,0.23%,0.00%
203,AND,Andorra,Europe,80088,79824,77700,71746,71519,66097,53569,35611,19860,468,170,0.33%,0.00%
204,DMA,Dominica,North America,73040,72737,71995,70007,68755,68346,69481,72978,68895,751,97,0.42%,0.00%
205,CYM,Cayman Islands,North America,69310,68706,67311,60911,54074,39658,26027,17100,10533,264,289,0.88%,0.00%
206,BMU,Bermuda,North America,64069,64184,64031,63144,63447,61371,57470,53565,52019,54,1186,-0.18%,0.00%
207,GGY,Guernsey,Europe,63544,63301,62794,61629,60782,59114,57727,52860,52656,78,1009,0.38%,0.00%
208,GRL,Greenland,North America,56643,56466,56026,55895,56351,56184,55599,50106,45434,2166086,0,0.31%,0.00%
209,FRO,Faroe Islands,Europe,53270,53090,52415,48816,48410,45660,47479,43054,38416,1393,39,0.34%,0.00%
210,MNP,Northern Mariana Islands,Oceania,49796,49551,49587,51514,54087,80338,48002,17613,10143,464,108,0.49%,0.00%
211,KNA,Saint Kitts and Nevis,North America,47755,47657,47642,47790,47403,45461,40636,43097,44968,261,184,0.21%,0.00%
212,TCA,Turks and Caicos Islands,North America,46062,45703,44276,36538,29726,18744,11709,7598,5665,948,49,0.79%,0.00%
213,SXM,Sint Maarten,North America,44222,44175,43621,40205,33034,30489,27845,12243,6260,34,1301,0.11%,0.00%
214,ASM,American Samoa,Oceania,43914,44273,46189,51368,54849,58230,47818,32886,27075,199,220,-0.81%,0.00%
